"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-08","7.38"," 2250","0.00",,"57","36","  140","  140","21.0","29.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-09","8.95"," 1031","1.11",,"46","42","  120","  110","17.0","21.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-10","17.00"," 1613","0.04",,"48","35","  280","  300","33.1","49.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-11","17.45"," 1436","0.00",,"54","38","  300","  290","31.1","45.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-12","8.50"," 1350","0.00",,"72","39","  270","  330","19.9","28.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-13","3.80"," 1316","0.00",,"75","41","  260","  320","14.1","21.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-14","3.80"," 2310","0.03",,"79","44","  320","  340","19.9","36.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-15","6.71"," 1315","0.03",,"71","51","  310","  320","18.1","27.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-16","7.61"," 1040","0.00",,"64","40","  260","  320","19.9","27.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-17","10.74"," 1201","0.00",,"62","46","  280","  240","23.9","38.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-18","12.97"," 1432","0.00",,"48","37","  300","  330","21.9","31.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-19","9.17"," 1230","0.00",,"47","36","  240","  220","21.9","30.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-20","11.86"," 1549","0.00",,"60","34","  310","  310","33.1","52.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-21","10.74"," 1152","0.00",,"46","29","  320","  290","21.9","32.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-22","7.61"," 1503","0.04",,"48","27","  140","  140","16.1","23.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-23","10.51"," 2116","1.06",,"46","34","  330","  320","28.0","36.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-24","6.93"," 0212","0.00",,"49","32","  350","  360","16.1","25.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-25","6.04"," 1440","0.00",,"56","32","  110","   90","13.0","19.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-26","5.59"," 1940","0.00",,"58","35","  150","  140","16.1","21.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-27","5.59"," 0148","0.13",,"50","44","  130","  140","14.1","19.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-28","5.82"," 1356","0.00",,"55","41","  310","  330","15.0","21.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-29","12.75"," 1711","0.00",,"59","37","  300","  310","25.1","40.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-30","7.16"," 0308","0.20",,"59","43","  310","  300","17.0","25.1","    1",,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-03-31","3.58"," 1426","0.00",,"61","43","  310","  300","12.1","17.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-01","5.14"," 1016","0.66",,"54","48","  140","  130","19.9","23.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-02","10.74"," 0953","1.02",,"51","47","  120","  120","21.0","29.1","    1",,"    1","    1"
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-03","9.40"," 0927","1.12",,"48","44","   90","   90","25.9","36.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-04","5.37"," 1604","0.03",,"54","38","  280","  270","23.9","42.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-05","10.74"," 1438","0.00",,"47","41","  290","  310","21.0","30.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-06","10.29"," 1045","0.00",,"55","40","  350","   10","21.0","29.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-07","6.26"," 1009","0.00",,"65","41","  330","  320","17.0","25.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-08","3.36"," 1227","0.00",,"69","35","  180","  170","13.0","16.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-09","3.58"," 1534","0.00",,"80","41","  120","  120","15.0","21.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-10","2.46"," 1329","0.00",,"74","57","  110","   50","8.1","11.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-11","13.42"," 1555","0.22",,"74","63","  140","  140","30.0","45.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-12","16.11"," 1410","0.35",,"68","51","  240","  260","30.0","45.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-13","16.11"," 1045","0.02",,"62","46","  280","  250","28.0","46.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-14","9.40"," 1933","0.26",,"82","41","  340","  340","32.0","59.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-15","6.93"," 2212","0.02",,"82","59","  310","   20","17.0","27.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-16","4.03"," 1611","0.00",,"76","45","  240","  280","13.0","19.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-17","7.61"," 2038","0.08",,"70","55","  110","  110","16.1","21.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-18","7.61"," 2304","0.00",,"64","52","  140","  140","15.0","19.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-19","6.71"," 0424","0.03",,"55","48","  120","  110","14.1","18.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-20","9.17"," 1454","0.00",,"70","48","  270","  260","23.9","38.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-21","6.71"," 1656","0.00",,"53","39","  320","  330","16.1","23.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-22","6.26"," 1151","0.00",,"65","37","  360","   20","15.0","21.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-23","7.38"," 1522","0.00",,"72","37","  170","  180","21.9","31.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-24","7.38"," 1104","0.07",,"69","51","  320","  330","23.9","35.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-25","3.58"," 0111","0.00",,"61","43","  360","  350","12.1","17.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-26","8.28"," 1301","0.00",,"66","41","  110","  110","18.1","23.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-27","6.71"," 1259","0.04",,"55","50","  150","  140","15.0","19.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-28","3.58"," 1900","0.00",,"84","52","  220","  190","10.1","16.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-29","5.37"," 2250","0.00",,"91","58","  180","  190","16.1","23.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-04-30","6.04"," 1720","0.02",,"89","64","  320","  330","21.0","30.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-01","4.70"," 2142","0.00",,"84","60","  200","  180","12.1","17.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-02","5.82"," 1616","0.00",,"92","58","  310","  310","18.1","25.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-03","10.29"," 1642","0.00",,"76","56","  110","  100","21.0","28.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-04","9.84"," 1920","0.28",,"56","51","  120","  120","17.0","23.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-05","6.04"," 0249","0.46",,"59","51","   90","  100","12.1","15.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-06","1.79"," 1447","0.00",,"74","57","  360","  300","8.1","13.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-07","2.68"," 1226","0.07",,"80","62","  290","   90","12.1","16.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-08","8.50"," 1510","0.29",,"87","64","  270","  270","21.9","33.1",,,,
